Penyakit,Pengobatan
GERD,"['Inhibitor Pompa Proton (PPI)', 'Pemblokir H2', 'Antasida', 'Prokinetika', 'Antibiotik']"
Penyakit tukak lambung,"['Antibiotik', 'Inhibitor Pompa Proton (PPI)', 'Pemblokir H2', 'Antasida', 'Agen sitoprotektif']"
AIDS,"['Obat antiretroviral', 'Inhibitor protease', 'Inhibitor integrasise', 'Inhibitor masuk', 'Inhibitor fusi']"
Diabetes,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitor', 'GLP-1 receptor agonist']"
Hipertensi,"['Obat antihipertensi', 'Diuretik', 'Beta-blocker', 'ACE inhibitor', 'Calcium channel blocker']"
Migrain,"['Analgesik', 'Triptan', 'Derivatif Ergotamine', 'Pengobatan pencegahan', 'Biofeedback']"
Penyakit kuning,"['Cairan IV', 'Transfusi darah', 'Transplantasi hati', 'Obat gatal', 'Obat antivirus']"
Malaria,"['Obat antimalaria', 'Antipiretik', 'Obat antiemetik', 'cairan IV', 'Transfusi darah']"
Cacar air,"['Obat antivirus', 'Pereda nyeri', 'cairan IV', 'Transfusi darah', 'Transfusi trombosit']"
demam berdarah,"['Antibiotik', 'Antipiretik', 'Analgesik', 'cairan IV', 'Kortikosteroid']"
Penyakit tipus,"['Vaksinasi', 'Obat antivirus', 'cairan IV', 'Transfusi darah', 'Transplantasi hati']"
TBC,"['Antipiretik', 'Dekongestan', 'Pereda batuk', 'Antihistamin', 'Pereda nyeri']"
Flu biasa,"['Antibiotik', 'Obat antivirus', 'Obat antijamur', 'cairan IV', 'Terapi oksigen']"
Radang paru-paru,"['Pencahar', 'Pereda nyeri', 'Mandi air hangat', 'Kompres dingin', 'Diet tinggi serat']"
Wasir dimorfik (tumpukan),"['Nitrogliserin', 'Aspirin', 'Beta-blocker', 'Calcium channel blocker', 'Obat trombolitik']"
