Unnamed: 0,Penyakit,Gejala_1,Gejala_2,Gejala_3,Gejala_4
21,GERD,sakit perut,keasaman,bisul di lidah,muntah
22,GERD,sakit perut,bisul di lidah,muntah,batuk
23,GERD,sakit perut,keasaman,muntah,batuk
24,GERD,sakit perut,keasaman,bisul di lidah,batuk
25,GERD,sakit perut,keasaman,bisul di lidah,muntah
26,GERD,sakit perut,keasaman,bisul di lidah,muntah
27,GERD,keasaman,bisul di lidah,muntah,batuk
28,GERD,sakit perut,bisul di lidah,muntah,batuk
29,GERD,sakit perut,keasaman,muntah,batuk
30,GERD,sakit perut,keasaman,bisul di lidah,batuk
51,Penyakit tukak lambung,muntah,kehilangan nafsu makan,sakit perut,masuk angin
52,Penyakit tukak lambung,muntah,gangguan pencernaan,sakit perut,masuk angin
53,Penyakit tukak lambung,gangguan pencernaan,kehilangan nafsu makan,sakit perut,masuk angin
54,Penyakit tukak lambung,muntah,kehilangan nafsu makan,sakit perut,masuk angin
55,Penyakit tukak lambung,muntah,gangguan pencernaan,sakit perut,masuk angin
56,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,masuk angin
57,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
58,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
59,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
60,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
61,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
62,AIDS,bercak di tenggorokan,demam tinggi,kontak di luar nikah,
63,AIDS,pengecilan otot,demam tinggi,kontak di luar nikah,
64,AIDS,pengecilan otot,bercak di tenggorokan,kontak di luar nikah,
65,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,
66,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
67,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
68,AIDS,bercak di tenggorokan,demam tinggi,kontak di luar nikah,
69,AIDS,pengecilan otot,demam tinggi,kontak di luar nikah,
70,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,
71,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
72,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
73,Diabetes,penurunan berat badan,kegelisahan,kelesuan,kadar gula tidak teratur
74,Diabetes,kelelahan,kegelisahan,kelesuan,kadar gula tidak teratur
75,Diabetes,kelelahan,penurunan berat badan,kelesuan,kadar gula tidak teratur
76,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kadar gula tidak teratur
77,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
78,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
79,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
80,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
101,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
102,Hipertensi,nyeri dada,pusing,kehilangan keseimbangan,kurangnya konsentrasi
103,Hipertensi,sakit kepala,pusing,kehilangan keseimbangan,kurangnya konsentrasi
104,Hipertensi,sakit kepala,nyeri dada,kehilangan keseimbangan,kurangnya konsentrasi
105,Hipertensi,sakit kepala,nyeri dada,pusing,kurangnya konsentrasi
106,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
107,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
108,Hipertensi,nyeri dada,pusing,kehilangan keseimbangan,kurangnya konsentrasi
109,Hipertensi,sakit kepala,pusing,kehilangan keseimbangan,kurangnya konsentrasi
110,Hipertensi,sakit kepala,nyeri dada,kehilangan keseimbangan,kurangnya konsentrasi
111,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
112,Migrain,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi,kelaparan berlebihan
113,Migrain,keasaman,sakit kepala,penglihatan kabur dan terdistorsi,kelaparan berlebihan
114,Migrain,keasaman,gangguan pencernaan,penglihatan kabur dan terdistorsi,kelaparan berlebihan
115,Migrain,keasaman,gangguan pencernaan,sakit kepala,kelaparan berlebihan
116,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
117,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
118,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
119,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
120,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
141,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
142,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
143,Penyakit kuning,muntah,kelelahan,penurunan berat badan,demam tinggi
144,Penyakit kuning,gatal,kelelahan,penurunan berat badan,demam tinggi
145,Penyakit kuning,gatal,muntah,penurunan berat badan,demam tinggi
